Unnamed: 0,箱番号,サンプル番号,連番,サンプル名,サンプル名推測,メモ日付,メモ人名（ご依頼者）,メモ1,メモ2,番号A1,番号A2,番号A3,番号A,番号B1,番号B2,番号B3,番号B4,番号B,日付,個数,計測値C(g),計測値B,計測値A(%),備考
,14,297.0,403,サンプル0220,サンプル0699,,,,,,,,,123.0,1003.0,600.0,1423.0,01231003 06001423,20231003,1013.4,22.21,20.4034545432718,13.9,
,14,298.0,404,サンプル0221,サンプル0700,,,,,,,,,123.0,1002.0,400.0,1423.0,01231002 04001423,20231002,1045.3,24.46,21.6644868621329,14.1,
,14,299.0,405,サンプル0222,,,,サンプル1474,,,,,,123.0,1011.0,500.0,1134.0,01231011 05001134,20231011,1093.1,22.53,21.4264073221664,14.2,
,14,300.0,406,サンプル0223,,,,,,,,,,123.0,1011.0,400.0,1134.0,01231011 04001134,20231011,1120.5,22.57,22.9965801495225,14.5,
,14,301.0,407,サンプル0224,サンプル0701,,,サンプル1475,,,,,,123.0,1017.0,400.0,1533.0,01231017 04001533,20231017,1066.7,24.42,22.1560647161887,15.1,
,14,302.0,408,サンプル0225,,,,,,,,,,123.0,1012.0,600.0,1134.0,01231012 06001134,20231012,991.9,23.16,23.1666296475251,13.4,
,14,303.0,409,サンプル0226,,,,サンプル1476,,,,,,123.0,1012.0,500.0,1134.0,01231012 05001134,20231012,1036.9,24.55,21.5098885913349,15.0,
,14,304.0,410,サンプル0227,,,,サンプル1477,,,,,,123.0,1013.0,400.0,1134.0,01231013 04001134,20231013,1023.8,24.67,22.1671318616035,14.2,
,14,305.0,411,サンプル0228,,,,サンプル1478,,,,,,123.0,1014.0,500.0,1134.0,01231014 05001134,20231014,1062.8,22.26,21.8067871345074,12.3,
,14,306.0,412,サンプル0229,,,,,,,,,,123.0,1012.0,400.0,1134.0,01231012 04001134,20231012,1032.3,21.81,22.5230541732287,14.0,
,14,307.0,413,サンプル0230,,,,サンプル1479,,,,,,123.0,1013.0,600.0,1134.0,01231013 06001134,20231013,1068.3,22.25,22.8663966302968,14.1,
,14,308.0,414,サンプル0231,サンプル0702,,,サンプル1480,,,,,,123.0,1018.0,400.0,1533.0,01231018 04001533,20231018,1093.3,21.88,22.1034483006227,14.7,
,14,309.0,415,サンプル0232,,,,サンプル1481,,,,,,123.0,1013.0,500.0,1134.0,01231013 05001134,20231013,1064.8,22.54,22.5615316552316,14.7,
,14,310.0,416,サンプル0233,サンプル0703,,,サンプル1482,,,,,,123.0,1018.0,500.0,1533.0,01231018 05001533,20231018,1052.3,23.98,23.7401530937857,14.3,
,14,311.0,417,サンプル0234,サンプル0704,,,サンプル1483,,,,,,123.0,1017.0,600.0,1533.0,01231017 06001533,20231017,1113.2,22.98,21.2414018132827,13.8,
,15,,418,,,,,,,,,,,,,,, ,,,,,,
,15,457.0,419,サンプル0235,,,,サンプル1484,,,,,,123.0,831.0,500.0,1334.0,01230831 05001334,20230831,1130.8,23.3,20.8611674570613,13.8,
,15,458.0,420,サンプル0236,,,,サンプル1485,,,,,,123.0,901.0,400.0,1334.0,01230901 04001334,20230901,1063.1,23.54,22.4385999244869,13.5,
,15,459.0,421,サンプル0237,,,,サンプル1486,,,,,,123.0,901.0,600.0,1334.0,01230901 06001334,20230901,1017.1,23.3,22.83259288131,13.9,
,15,460.0,422,サンプル0238,サンプル0705,,,,,,,,,123.0,825.0,600.0,1383.0,01230825 06001383,20230825,1064.6,23.51,21.4182003314281,13.9,
,15,461.0,423,サンプル0239,サンプル0706,,,,,,,,,123.0,827.0,400.0,1383.0,01230827 04001383,20230827,1086.2,24.54,20.9529512769954,14.2,
,15,462.0,424,サンプル0240,サンプル0707,,,,,,,,,123.0,826.0,600.0,1383.0,01230826 06001383,20230826,958.5,25.01,21.7816284298533,14.0,
,15,463.0,425,サンプル0241,サンプル0708,,,,,,,,,123.0,826.0,500.0,1383.0,01230826 05001383,20230826,1001.8,23.39,22.5498997081531,14.1,
,15,464.0,426,サンプル0242,サンプル0709,,,,,,,,,123.0,826.0,400.0,1383.0,01230826 04001383,20230826,1094.9,22.95,22.1054845183531,14.8,
,15,465.0,427,サンプル0243,サンプル0710,,,,,,,,,123.0,827.0,600.0,1383.0,01230827 06001383,20230827,1013.0,21.0,22.2594645488654,14.9,
,15,466.0,428,サンプル0244,サンプル0711,,,,,,,,,123.0,827.0,500.0,1383.0,01230827 05001383,20230827,1053.1,23.38,22.0356755678733,14.7,
,15,467.0,429,サンプル0245,,,,サンプル1487,,,,,,123.0,902.0,600.0,1334.0,01230902 06001334,20230902,1076.6,24.84,22.1109499302333,14.1,
,15,468.0,430,サンプル0246,,,,サンプル1488,,,,,,123.0,902.0,500.0,1334.0,01230902 05001334,20230902,1097.6,23.43,22.2099906222929,13.9,
,15,469.0,431,サンプル0247,,,,サンプル1489,,,,,,123.0,902.0,400.0,1334.0,01230902 04001334,20230902,1127.4,24.0,21.1599085813993,14.2,
,15,470.0,432,サンプル0248,,,,サンプル1490,,,,,,123.0,921.0,400.0,1423.0,01230921 04001423,20230921,1063.0,23.76,21.1907983766884,14.2,
,15,471.0,433,サンプル0249,,,,サンプル1491,,,,,,123.0,831.0,400.0,1334.0,01230831 04001334,20230831,995.5,22.71,20.5337439685997,14.9,
,15,472.0,434,サンプル0250,サンプル0712,,,,,,,,,123.0,907.0,500.0,1523.0,01230907 05001523,20230907,1022.2,23.13,24.0293675231233,14.1,
,15,,435,,,,,,,,,,,,,,, ,,,,,,
,15,473.0,436,サンプル0251,サンプル0713,,,サンプル1492,,,,,,123.0,911.0,600.0,1103.0,01230911 06001103,20230911,1043.1,25.78,22.5008276455454,13.7,
,15,474.0,437,,サンプル0714,,,サンプル1493,,,,,,123.0,921.0,600.0,1423.0,01230921 06001423,20230921,1029.5,24.4,22.3173986812151,15.6,
,15,475.0,438,サンプル0252,,,,,,,,,,123.0,926.0,400.0,1423.0,01230926 04001423,20230926,1093.5,24.55,23.2283799596391,13.7,
,15,476.0,439,サンプル0253,サンプル0715,,,サンプル1494,,,,,,123.0,918.0,600.0,1103.0,01230918 06001103,20230918,1089.9,23.2,22.8828885758177,13.4,
,16,555.0,440,サンプル0254,サンプル0716,,,サンプル1495,,,,,,123.0,908.0,600.0,1523.0,01230908 06001523,20230908,1050.0,23.59,24.3589454515414,14.1,
,16,556.0,441,サンプル0255,,,,サンプル1496,,,,,,123.0,829.0,600.0,1333.0,01230829 06001333,20230829,1053.2,23.53,21.8736091899308,15.6,
,16,557.0,442,サンプル0256,サンプル0717,,,サンプル1497,,,,,,123.0,913.0,500.0,1103.0,01230913 05001103,20230913,1005.8,22.65,22.9297846394887,14.4,
,16,558.0,443,サンプル0257,,,,サンプル1498,,,,,,123.0,830.0,500.0,1334.0,01230830 05001334,20230830,1022.6,24.17,20.0968616485357,14.5,
,16,,444,,,,,,,,,,,,,,, ,,,,,,
,16,559.0,445,サンプル0258,サンプル0718,,,,,,,,,123.0,912.0,600.0,1103.0,01230912 06001103,20230912,1054.3,25.73,21.1851093954405,13.3,
,16,560.0,446,サンプル0259,サンプル0719,,,サンプル1499,,,,,,123.0,909.0,400.0,1523.0,01230909 04001523,20230909,1046.7,22.99,21.2476290453216,14.3,
,16,561.0,447,サンプル0260,サンプル0720,,,サンプル1500,,,,,,123.0,908.0,500.0,1523.0,01230908 05001523,20230908,1095.1,24.45,21.3303791730807,14.0,
,16,562.0,448,サンプル0261,,,,サンプル1501,,,,,,123.0,829.0,400.0,1334.0,01230829 04001334,20230829,1053.8,22.62,21.0578540226695,14.6,
,16,563.0,449,サンプル0262,,,,サンプル1502,,,,,,123.0,921.0,500.0,1423.0,01230921 05001423,20230921,991.3,21.64,22.3341334328108,13.5,
,16,564.0,450,サンプル0263,サンプル0721,,,,,,,,,123.0,1008.0,500.0,1134.0,01231008 05001134,20231008,1087.7,21.62,22.73359738435,15.1,
,16,565.0,451,サンプル0264,サンプル0722,,,,,,,,,123.0,924.0,400.0,1423.0,01230924 04001423,20230924,1009.2,23.88,23.5868431905066,15.3,
,16,566.0,452,サンプル0265,,,,サンプル1503,,,,,,123.0,925.0,500.0,1423.0,01230925 05001423,20230925,1009.6,22.99,22.6339389658222,13.2,
,16,567.0,453,サンプル0266,,,,サンプル1504,,,,,,123.0,920.0,500.0,1423.0,01230920 05001423,20230920,955.2,26.25,22.7586239330637,14.5,
,16,568.0,454,サンプル0267,,,,サンプル1505,,,,,,123.0,914.0,600.0,1103.0,01230914 06001103,20230914,1116.5,22.59,23.5754875739283,14.1,
,16,569.0,455,サンプル0268,サンプル0723,,,,,,,,,123.0,911.0,500.0,1103.0,01230911 05001103,20230911,1039.5,23.49,23.9911798201537,15.3,
,16,570.0,456,サンプル0269,サンプル0724,,,サンプル1506,,,,,,123.0,913.0,400.0,1103.0,01230913 04001103,20230913,1089.3,25.07,21.6928886020017,14.5,
,16,571.0,457,サンプル0270,サンプル0725,,,,,,,,,123.0,929.0,400.0,1423.0,01230929 04001423,20230929,1005.5,22.72,21.3753706417854,15.0,
,16,572.0,458,サンプル0271,,,,,,,,,,123.0,1001.0,500.0,1423.0,01231001 05001423,20231001,1072.6,23.6,23.1557422847622,14.3,
,17,538.0,459,サンプル0272,サンプル0726,,,,,,,,,123.0,1002.0,600.0,1423.0,01231002 06001423,20231002,998.0,22.74,21.9880715895242,14.5,
,17,539.0,460,サンプル0273,サンプル0727,,,,,,,,,123.0,907.0,400.0,1523.0,01230907 04001523,20230907,1049.3,23.35,20.8831289788102,15.8,
,17,540.0,461,サンプル0274,,,,サンプル1507,,,,,,123.0,830.0,600.0,1334.0,01230830 06001334,20230830,1055.2,23.44,21.1855767295621,15.8,
,17,541.0,462,サンプル0275,サンプル0728,,,,,,,,,123.0,917.0,600.0,1103.0,01230917 06001103,20230917,1035.3,21.92,22.1430708696261,13.1,
,17,542.0,463,サンプル0276,サンプル0729,,,,,,,,,123.0,917.0,500.0,1103.0,01230917 05001103,20230917,1060.2,22.4,25.3082932743405,14.6,
,17,,464,,,,,,,,,,,,,,, ,,,,,,
,17,,465,,,,,,,,,,,,,,, ,,,,,,
,17,543.0,466,サンプル0277,,,,サンプル1508,,,,,,123.0,1008.0,600.0,1134.0,01231008 06001134,20231008,1004.1,21.67,22.8704713781753,13.8,
,17,544.0,467,サンプル0278,サンプル0730,,,,,,,,,123.0,926.0,600.0,1423.0,01230926 06001423,20230926,1164.2,22.24,24.5112259526582,14.5,
,17,545.0,468,サンプル0279,サンプル0731,,,サンプル1509,,,,,,123.0,913.0,600.0,1103.0,01230913 06001103,20230913,1104.3,22.53,22.2441577608523,15.0,
,17,546.0,469,サンプル0280,,,,サンプル1510,,,,,,123.0,914.0,400.0,1103.0,01230914 04001103,20230914,1112.1,23.24,22.0452068693232,14.7,
,17,547.0,470,サンプル0281,サンプル0732,,,サンプル1511,,,,,,123.0,909.0,500.0,1523.0,01230909 05001523,20230909,1069.6,23.22,22.5531823827983,14.0,
,17,548.0,471,サンプル0282,,,,サンプル1512,,,,,,123.0,912.0,400.0,1103.0,01230912 04001103,20230912,1100.7,25.06,22.6500521966788,13.6,
,17,,472,,,,,,,,,,,,,,, ,,,,,,
,17,549.0,473,サンプル0283,サンプル0733,,,,,,,,,123.0,924.0,600.0,1423.0,01230924 06001423,20230924,962.2,23.06,21.1734227676752,15.4,
,17,,474,,,,,,,,,,,,,,, ,,,,,,
,17,550.0,475,サンプル0284,,,,サンプル1513,,,,,,123.0,917.0,400.0,1103.0,01230917 04001103,20230917,1128.7,22.05,22.0457154927926,13.7,
,17,551.0,476,サンプル0285,サンプル0734,,,,,,,,,123.0,907.0,600.0,1523.0,01230907 06001523,20230907,1019.5,22.96,23.8979201005959,14.6,
,17,552.0,477,サンプル0286,サンプル0735,,,,,,,,,123.0,916.0,600.0,1103.0,01230916 06001103,20230916,1020.3,24.48,23.6294084835605,14.3,
,17,554.0,478,サンプル0287,,,,サンプル1514,,,,,,123.0,829.0,500.0,1333.0,01230829 05001333,20230829,1070.9,23.88,21.4375289514445,14.3,
,17,553.0,479,サンプル0288,サンプル0736,,,サンプル1515,,,,,,123.0,916.0,500.0,1103.0,01230916 05001103,20230916,1016.9,23.82,24.5152206322959,14.8,
,18,573.0,480,サンプル0289,サンプル0737,,,サンプル1516,,,,,,123.0,916.0,400.0,1103.0,01230916 04001103,20230916,989.3,22.57,24.2197953951509,14.0,
,18,574.0,481,サンプル0290,サンプル0738,,,サンプル1517,,,,,,123.0,911.0,400.0,1103.0,01230911 04001103,20230911,942.3,23.24,23.0448570812624,13.6,
,18,575.0,482,サンプル0291,サンプル0739,,,サンプル1518,,,,,,123.0,920.0,600.0,1423.0,01230920 06001423,20230920,1012.1,23.9,22.3039724258975,14.2,
,18,576.0,483,サンプル0292,,,,サンプル1519,,,,,,123.0,925.0,400.0,1423.0,01230925 04001423,20230925,972.7,23.26,22.2443448784628,14.4,
,18,577.0,484,サンプル0293,,,,サンプル1520,,,,,,123.0,924.0,500.0,1423.0,01230924 05001423,20230924,1027.1,21.33,21.3953719533883,13.6,
,18,578.0,485,サンプル0294,サンプル0740,,,,,,,,,123.0,1008.0,400.0,1134.0,01231008 04001134,20231008,1051.3,23.32,22.3022404031391,13.5,
,18,579.0,486,,,,,,,,,,,123.0,907.0,300.0,1523.0,01230907 03001523,20230907,1055.6,23.33,21.0767016487549,13.6,
,18,580.0,487,,,,,,,,,,,123.0,913.0,300.0,1103.0,01230913 03001103,20230913,1101.4,24.39,22.3510246399335,14.9,
,18,581.0,488,,,,,,,,,,,123.0,908.0,200.0,1523.0,01230908 02001523,20230908,1114.6,24.48,21.7146563736912,15.3,
,18,582.0,489,,,,,,,,,,,123.0,911.0,100.0,1103.0,01230911 01001103,20230911,1015.0,24.13,23.9311834621629,15.2,
,18,583.0,490,,,,,,,,,,,123.0,911.0,200.0,1103.0,01230911 02001103,20230911,1087.6,22.39,21.5884257416676,13.7,
,18,584.0,491,,,,,,,,,,,123.0,916.0,200.0,1103.0,01230916 02001103,20230916,1057.6,23.32,21.4605843870857,13.8,
,18,585.0,492,,,,,,,,,,,123.0,914.0,100.0,1103.0,01230914 01001103,20230914,1049.6,22.94,21.6102138816513,13.4,
,18,586.0,493,,,,,,,,,,,123.0,913.0,200.0,1103.0,01230913 02001103,20230913,1154.3,23.59,23.5662035584837,15.6,
,18,587.0,494,,,,,,,,,,,123.0,918.0,300.0,1103.0,01230918 03001103,20230918,1050.8,22.32,22.0857729485214,14.0,
,18,588.0,495,,,,,,,,,,,123.0,911.0,300.0,1103.0,01230911 03001103,20230911,1006.0,21.04,23.3308985275891,14.3,
,18,589.0,496,,,,,,,,,,,123.0,921.0,100.0,1423.0,01230921 01001423,20230921,1042.1,24.68,22.1945277142127,14.0,
,18,590.0,497,,,,,,,,,,,123.0,914.0,300.0,1103.0,01230914 03001103,20230914,1055.2,21.83,23.1274517582585,14.4,
,18,591.0,498,,,,,,,,,,,123.0,912.0,100.0,1103.0,01230912 01001103,20230912,1053.2,23.56,22.4799931844558,13.6,
,18,,499,,,,,,,,,,,,,,, ,,,,,,
,18,592.0,500,,,,,,,,,,,123.0,912.0,200.0,1103.0,01230912 02001103,20230912,1103.3,23.89,22.4497652129425,13.7,
,18,593.0,501,,,,,,,,,,,123.0,916.0,300.0,1103.0,01230916 03001103,20230916,1079.6,21.91,22.3415334884663,12.7,
,18,594.0,502,,,,,,,,,,,123.0,917.0,100.0,1103.0,01230917 01001103,20230917,1058.5,24.48,20.609234308961,14.5,
,18,595.0,503,,,,,,,,,,,123.0,921.0,300.0,1423.0,01230921 03001423,20230921,967.3,22.23,21.2868738933117,14.8,
,18,596.0,504,,,,,,,,,,,123.0,918.0,200.0,1103.0,01230918 02001103,20230918,1054.0,24.39,20.626445869426,15.0,
,18,597.0,505,,,,,,,,,,,123.0,917.0,300.0,1103.0,01230917 03001103,20230917,1068.5,23.08,23.6522327307962,15.4,
,18,598.0,506,サンプル0295,,,,サンプル1521,,,,,,123.0,930.0,200.0,1423.0,01230930 02001423,20230930,1054.0,22.19,22.6936654154767,15.0,
,18,599.0,507,,,,,,,,,,,123.0,1012.0,200.0,1134.0,01231012 02001134,20231012,964.4,22.88,22.3298629477779,14.3,
,19,600.0,508,,,,,,,,,,,123.0,1013.0,200.0,1134.0,01231013 02001134,20231013,1016.8,25.81,21.3540750148829,14.7,
,19,601.0,509,,,,,,,,,,,123.0,1013.0,100.0,1134.0,01231013 01001134,20231013,930.0,22.4,24.478439433574,14.0,
,19,602.0,510,,,,,,,,,,,123.0,1007.0,300.0,1134.0,01231007 03001134,20231007,1032.0,22.38,22.4222992467088,14.9,
,19,603.0,511,,,,,,,,,,,123.0,1027.0,200.0,1343.0,01231027 02001343,20231027,995.4,21.43,20.922745844704,14.1,
,19,604.0,512,,,,,,,,,,,123.0,1023.0,200.0,1513.0,01231023 02001513,20231023,1117.4,22.85,23.2952519261788,12.7,
,19,605.0,513,,,,,,,,,,,123.0,1008.0,200.0,1134.0,01231008 02001134,20231008,994.7,21.82,22.0947317330754,14.3,
,19,,514,,,,,,,,,,,,,,, ,,,,,,
,19,606.0,515,,,,,,,,,,,123.0,1011.0,300.0,1134.0,01231011 03001134,20231011,1028.7,24.23,19.4840545304325,13.5,
,19,607.0,516,,,,,,,,,,,123.0,1018.0,200.0,1513.0,01231018 02001513,20231018,1145.2,22.49,22.082023183597,14.7,
,19,608.0,517,,,,,,,,,,,123.0,1023.0,300.0,1513.0,01231023 03001513,20231023,1086.7,22.61,20.9427112569554,15.2,
,19,609.0,518,,,,,,,,,,,123.0,1007.0,100.0,1134.0,01231007 01001134,20231007,1059.0,22.74,21.2301083301878,13.5,
,19,610.0,519,,,,,,,,,,,123.0,1027.0,100.0,1343.0,01231027 01001343,20231027,1110.9,23.12,20.7181017160714,14.9,
,19,611.0,520,,,,,,,,,,,123.0,1001.0,300.0,1423.0,01231001 03001423,20231001,999.8,21.32,23.1762502787955,14.9,
,19,612.0,521,,,,,,,,,,,123.0,1003.0,200.0,1423.0,01231003 02001423,20231003,1105.0,20.48,23.0209967509176,13.7,
,19,613.0,522,,,,,,,,,,,123.0,929.0,100.0,1423.0,01230929 01001423,20230929,1147.4,25.41,22.9035357471644,14.0,
,19,614.0,523,,,,,,,,,,,123.0,1018.0,100.0,1513.0,01231018 01001513,20231018,990.8,22.1,22.7204857385293,13.6,
,19,615.0,524,,,,,,,,,,,123.0,1012.0,300.0,1134.0,01231012 03001134,20231012,1024.5,22.05,21.9158519535341,13.9,
,19,616.0,525,,,,,,,,,,,123.0,1002.0,100.0,1423.0,01231002 01001423,20231002,1002.6,22.55,22.8412694954523,14.3,
,19,617.0,526,,,,,,,,,,,123.0,1017.0,100.0,1513.0,01231017 01001513,20231017,1055.8,23.24,23.1755896447631,15.1,
,19,618.0,527,,,,,,,,,,,123.0,1024.0,100.0,1513.0,01231024 01001513,20231024,1049.7,24.98,21.8489114186782,13.9,
,19,619.0,528,,,,,,,,,,,123.0,1013.0,300.0,1134.0,01231013 03001134,20231013,1004.7,23.2,22.5103686300538,13.2,
,19,620.0,529,,,,,,,,,,,123.0,1024.0,200.0,1513.0,01231024 02001513,20231024,1006.9,20.57,21.0363530384321,12.1,
,19,621.0,530,,,,,,,,,,,123.0,1023.0,100.0,1513.0,01231023 01001513,20231023,1044.0,23.77,23.0518707416498,13.9,
,19,622.0,531,,,,,,,,,,,123.0,1023.0,300.0,1513.0,01231023 03001513,20231023,1080.5,20.48,22.9115989852652,13.4,
,19,623.0,532,,,,,,,,,,,123.0,1012.0,100.0,1134.0,01231012 01001134,20231012,1105.3,21.48,21.0217806071896,14.5,
,19,624.0,533,,,,,,,,,,,123.0,1018.0,300.0,1513.0,01231018 03001513,20231018,1143.7,23.25,20.4678129070951,14.5,
,19,625.0,534,,,,,,,,,,,123.0,1003.0,300.0,1423.0,01231003 03001423,20231003,1037.5,25.45,21.6382673793503,13.2,
,19,626.0,535,,,,,,,,,,,123.0,1008.0,100.0,1134.0,01231008 01001134,20231008,1004.3,23.49,21.3474112533318,14.6,
,19,627.0,536,,,,,,,,,,,123.0,1014.0,100.0,1134.0,01231014 01001134,20231014,1059.9,23.12,24.1022923951426,14.2,
,19,628.0,537,,,,,,,,,,,123.0,1014.0,200.0,1134.0,01231014 02001134,20231014,999.4,23.4,22.8970840062903,14.1,
,19,629.0,538,,,,,,,,,,,123.0,831.0,200.0,1334.0,01230831 02001334,20230831,1092.3,25.4,23.4532008243095,14.0,
,19,630.0,539,,,,,,,,,,,123.0,827.0,100.0,1383.0,01230827 01001383,20230827,1047.8,23.99,22.0799766224213,15.0,
,19,,540,,,,,,,,,,,,,,, ,,,,,,
,19,631.0,541,,,,,,,,,,,123.0,825.0,300.0,1383.0,01230825 03001383,20230825,1107.1,23.53,22.3049714741777,14.5,
,20,,542,,,,,,,,,,,,,,, ,,,,,,
,20,,543,,,,,,,,,,,,,,, ,,,,,,
,20,,544,,,,,,,,,,,,,,, ,,,,,,
,20,,545,,,,,,,,,,,,,,, ,,,,,,
,20,,546,,,,,,,,,,,,,,, ,,,,,,
,20,,547,,,,,,,,,,,,,,, ,,,,,,
,20,,548,,,,,,,,,,,,,,, ,,,,,,
,20,312.0,549,サンプル0296,,,,サンプル1522,,,,,,,,,, ,,994.1,24.18,23.0605431149115,15.0,
,20,313.0,550,サンプル0297,サンプル0741,,,サンプル1523,,,,,,,,,, ,,1128.4,24.48,21.9919644672577,13.4,
,20,314.0,551,サンプル0298,,,,サンプル1524,,20230914,1.0,H0016,2023091401 H0016,,,,, ,20230914,1050.3,23.23,22.6626349346479,13.6,
,20,315.0,552,サンプル0299,,,,サンプル1525,,20230911,1.0,H0009,202301011390H1390,,,,, ,20230911,1046.5,21.97,20.2552524167788,13.6,
,20,316.0,553,サンプル0300,,,,サンプル1526,,20230911,1.0,H0008,202301011391H1391,,,,, ,20230911,1047.7,21.15,20.469630573831,13.3,
,20,317.0,554,サンプル0301,,,,サンプル1527,,20230914,1.0,H0017,202301011392H1392,,,,, ,20230914,1058.8,23.37,22.7514390837475,14.6,
,20,318.0,555,,,,,,,20230924,1.0,H0035,202301011393H1393,,,,, ,20230924,1066.2,23.35,23.655767722913,15.4,
,20,,556,,,,,,,,,,,,,,, ,,,,,,
,20,319.0,557,サンプル0302,,,,サンプル1528,,20230920,1.0,H0030,202301011394H1394,,,,, ,20230920,987.1,24.0,21.5662460378075,15.4,
,20,320.0,558,サンプル0303,,,,サンプル1529,,20230928,1.0,H0043,202301011395H1395,,,,, ,20230928,1026.3,22.5,20.9703944783688,14.0,
,20,321.0,559,サンプル0304,,,,サンプル1530,,20230922,1.0,H0033,202301011396H1396,,,,, ,20230922,1137.7,24.17,21.1393595010531,14.5,
,20,322.0,560,サンプル0305,,,,サンプル1531,,20230924,1.0,H0036,202301011397H1397,,,,, ,20230924,1095.9,23.81,22.374917948027,13.7,
,20,323.0,561,サンプル0306,,,,サンプル1532,,20230918,1.0,H0025,202301011398H1398,,,,, ,20230918,1138.1,23.56,21.4757589042446,14.3,
,20,324.0,562,サンプル0307,,,,サンプル1533,,20230920,1.0,H0029,202301011399H1399,,,,, ,20230920,979.4,23.01,21.9676262392756,15.1,
,20,325.0,563,サンプル0308,,,,サンプル1534,,20230915,1.0,H0018,202301011400H1400,,,,, ,20230915,1032.0,23.28,21.2353200373282,14.8,
,20,326.0,564,サンプル0309,,,,サンプル1535,,20230921,1.0,H0032,202301011401H1401,,,,, ,20230921,993.3,22.87,22.1472868849915,15.0,
,20,327.0,565,サンプル0310,,,,サンプル1536,,20230924,1.0,H0034,202301011402H1402,,,,, ,20230924,1020.3,23.78,22.3505602042618,14.0,
,20,328.0,566,サンプル0311,,,,サンプル1537,,20230921,1.0,H0031,202301011403H1403,,,,, ,20230921,1071.8,22.49,22.7533570749398,15.0,
,20,329.0,567,サンプル0312,,,,サンプル1538,,20230915,1.0,H0020,202301011404H1404,,,,, ,20230915,1110.6,22.87,24.665425759465,15.3,
,20,,568,,,,,,,,,,,,,,, ,,,,,,
,20,,569,,,,,,,,,,,,,,, ,,,,,,
,21,519.0,570,サンプル0313,,,,サンプル1539,,20231005,1.0,H0059,202301011405H1405,,,,, ,20231005,1052.6,21.86,23.3057913526416,14.5,
,21,520.0,571,サンプル0314,,,,サンプル1540,,20231010,1.0,H0063,202301011406H1406,,,,, ,20231010,1003.0,23.85,23.3698558163368,14.5,
,21,521.0,572,サンプル0315,,,,サンプル1541,,20231006,1.0,H0061,202301011407H1407,,,,, ,20231006,1087.5,22.93,21.2656206485253,13.9,
,21,522.0,573,サンプル0316,,,,サンプル1542,,20231010,1.0,H0062,202301011408H1408,,,,, ,20231010,982.4,24.5,19.4444444444445,13.6,
,21,,574,,,,,,,,,,,,,,, ,,,,,,
,21,523.0,575,サンプル0317,,,,サンプル1543,,20231006,1.0,H0060,202301011409H1409,,,,, ,20231006,1157.9,22.46,20.4657642262908,15.1,
,21,524.0,576,サンプル0318,,,,サンプル1544,,20231004,1.0,H0055,202301011410H1410,,,,, ,20231004,1153.4,23.28,24.1148769859437,14.4,
,21,525.0,577,サンプル0319,,,,サンプル1545,,20231003,1.0,H0052,202301011411H1411,,,,, ,20231003,1062.4,21.69,23.2078960874947,15.5,
,21,526.0,578,サンプル0320,,,,サンプル1546,,20231002,1.0,H0051,202301011412H1412,,,,, ,20231002,1010.4,22.0,22.2844240311811,13.1,
,21,,579,,,,,,,,,,,,,,, ,,,,,,
,21,527.0,580,サンプル0321,,,,サンプル1547,,20230918,1.0,H0026,202301011413H1413,,,,, ,20230918,1072.4,24.54,21.9005165670637,15.5,
,21,528.0,581,サンプル0322,,,,サンプル1548,,20231001,1.0,H0046,202301011414H1414,,,,, ,20231001,1029.8,22.52,20.8910382080418,15.6,
,21,,582,,,,,,,,,,,,,,, ,,,,,,
,21,529.0,583,,,,,,,20230925,1.0,H0038,202301011415H1415,,,,, ,20230925,1080.2,25.4,22.6181708709321,15.4,
,21,530.0,584,サンプル0323,,,,サンプル1549,,20230925,1.0,H0037,202301011416H1416,,,,, ,20230925,1128.4,22.94,21.8987037588028,15.1,
,21,531.0,585,サンプル0324,,,,サンプル1550,,20230914,1.0,H0015,202301011417H1417,,,,, ,20230914,1000.9,24.1,21.8678861225052,15.2,
,21,532.0,586,サンプル0325,,,,サンプル1551,,20231001,1.0,H0047,202301011418H1418,,,,, ,20231001,1100.6,23.98,20.1522881397074,14.5,
,21,533.0,587,サンプル0326,,,,サンプル1552,,20230928,1.0,H0042,202301011419H1419,,,,, ,20230928,1058.9,23.08,21.8043909679646,15.0,
,21,534.0,588,サンプル0327,,,,サンプル1553,,20230919,1.0,H0028,202301011420H1420,,,,, ,20230919,1061.4,22.52,22.0707699664845,15.0,
,21,535.0,589,サンプル0328,,,,サンプル1554,,20230927,1.0,H0041,202301011421H1421,,,,, ,20230927,1051.3,22.53,20.2330058650558,13.9,
,21,536.0,590,サンプル0329,,,,サンプル1555,,20230925,1.0,H0039,202301011422H1422,,,,, ,20230925,997.1,21.88,21.7161631047224,12.4,
,21,537.0,591,サンプル0330,,,,サンプル1556,,20231004,1.0,H0056,202301011423H1423,,,,, ,20231004,1038.7,22.25,23.607775441381,15.1,
,22,,592,,,,,,,,,,,,,,, ,,,,,,
,22,330.0,593,,,,,,,20231001,1.0,H0048,202301011424H1424,,,,, ,20231001,1015.3,22.26,23.4348977684731,14.9,
,22,331.0,594,サンプル0331,,,,サンプル1557,,20231002,1.0,H0050,202301011425H1425,,,,, ,20231002,1011.9,25.77,21.6029525207233,14.0,
,22,332.0,595,サンプル0332,,,,サンプル1558,,20230909,1.0,H0005,202301011426H1426,,,,, ,20230909,1002.9,22.62,24.8475748329612,14.0,
