sample_id,year,analyzer_id,p_grA_w_ratio,p_grB_w_ratio,p_grC_w_ratio,p_grD_w_ratio,p_grE_w_ratio,p_grF_w_ratio,p_grG_w_ratio,p_grA_c_ratio,p_grB_c_ratio,p_grC_c_ratio,p_grD_c_ratio,p_grE_c_ratio,p_grF_c_ratio,p_grG_c_ratio,p_grA_count,p_grB_count,p_grC_count,p_grD_count,p_grE_count,p_grF_count,p_grG_count,s_grA_w_ratio,s_grF_w_ratio,s_grH_w_ratio,s_grC_w_ratio,s_grB_w_ratio,s_grD_w_ratio,s_grA_c_ratio,s_grF_c_ratio,s_grH_c_ratio,s_grC_c_ratio,s_grB_c_ratio,s_grD_c_ratio,s_grA_count,s_grF_count,s_grH_count,s_grC_count,s_grB_count,s_grD_count,d_grA_w_ratio,d_grI_w_ratio,d_grJ_w_ratio,d_grK_w_ratio,d_grL_w_ratio,d_grM_w_ratio,d_grE_w_ratio,d_grN_w_ratio,d_grO_w_ratio,d_grP_w_ratio,d_grQ_w_ratio,d_grR_w_ratio,d_grD_w_ratio,d_grA_c_ratio,d_grI_c_ratio,d_grJ_c_ratio,d_grK_c_ratio,d_grL_c_ratio,d_grM_c_ratio,d_grE_c_ratio,d_grN_c_ratio,d_grO_c_ratio,d_grP_c_ratio,d_grQ_c_ratio,d_grR_c_ratio,d_grD_c_ratio,d_grA_count,d_grI_count,d_grJ_count,d_grK_count,d_grL_count,d_grM_count,d_grE_count,d_grN_count,d_grO_count,d_grP_count,d_grQ_count,d_grR_count,d_grD_count,all_length_mean,all_width_mean,all_thickness_mean,all_brightness_mean,all_length_sd,all_width_sd,all_thickness_sd,all_brightness_sd,grA_length_mean,grA_width_mean,grA_thickness_mean,grA_brightness_mean,grA_length_sd,grA_width_sd,grA_thickness_sd,grA_brightness_sd,measured_count,flag_crack,flag_features
545,2024,1095.0,78.5,0.7,5.3,0.0,0.2,1.3,37.9,51.9,0.2,4.4,8.9,1.6,5.9,44.4,391.0,0.0,125.0,28.0,25.0,24.0,525.0,21.1,43.0,1.9,0.0,0.0,12.8,37.6,36.9,1.1,2.8,0.5,5.3,862.0,306.0,4.0,0.0,3.0,0.0,28.3,7.1,3.6,4.4,2.0,37.6,1.7,0.3,0.1,0.0,0,0.1,10.8,66.6,3.8,3.9,6.5,1.4,34.3,0.1,0.1,0.0,0.0,0,0.2,3.5,396.0,42.0,104.0,32.0,27.0,460.0,20.0,0.0,2.0,0.0,0,0.0,27.0,5.3,2.74,2.05,20.8,0.19,0.08,0.07,2.9,5.79,2.89,1.8,24.9,0.18,0.1,0.1,1.72,1067.0,有,有
546,2024,399.0,36.9,0.3,25.2,2.5,1.0,0.0,33.6,47.6,0.1,13.5,7.6,0.0,4.5,16.0,585.0,1.0,39.0,4.0,11.0,47.0,278.0,25.1,36.7,0.3,2.6,0.0,2.5,49.2,44.8,0.6,12.6,0.3,4.0,419.0,676.0,11.0,106.0,0.0,93.0,41.8,0.0,0.0,2.6,1.3,32.2,0.0,0.2,0.1,0.0,0,0.4,0.0,55.2,3.5,1.8,4.6,0.1,29.8,2.1,0.4,0.0,7.6,0,0.1,0.0,802.0,0.0,14.0,67.0,12.0,435.0,0.0,0.0,0.0,58.0,0,4.0,54.0,5.17,2.7,2.0,22.1,0.19,0.08,0.09,1.9,5.74,1.65,1.68,16.5,0.14,0.09,0.03,1.63,1074.0,有,無
547,2024,712.0,45.3,0.3,7.4,7.9,2.6,3.1,36.1,26.8,0.2,15.9,1.2,0.0,5.6,40.4,395.0,0.0,85.0,61.0,7.0,68.0,436.0,57.4,11.8,0.9,0.0,0.1,0.0,73.1,54.0,0.1,5.3,0.0,4.2,618.0,158.0,10.0,13.0,11.0,18.0,83.3,3.9,0.3,1.8,0.0,19.6,0.7,0.0,0.0,16.6,0,0.0,7.4,52.7,3.9,1.6,4.0,0.0,40.6,0.0,0.0,0.1,0.0,0,0.0,0.9,733.0,27.0,30.0,23.0,12.0,506.0,0.0,4.0,1.0,16.0,0,6.0,0.0,5.22,2.74,2.09,23.4,0.33,0.08,0.11,2.3,5.44,2.89,1.84,18.7,0.2,0.05,0.07,1.03,1105.0,有,有
548,2024,310.0,77.5,0.3,0.0,0.0,2.7,2.8,35.0,37.7,0.0,0.0,0.0,0.0,7.0,28.9,668.0,0.0,0.0,39.0,8.0,33.0,317.0,68.0,26.3,1.4,1.5,0.3,0.0,43.4,31.2,0.2,0.0,0.0,5.9,582.0,491.0,0.0,0.0,2.0,0.0,69.6,0.0,8.6,4.2,0.6,33.3,1.1,0.3,0.0,2.9,0,0.3,0.0,63.5,0.5,8.7,5.8,0.3,22.0,3.0,0.1,0.1,5.3,0,0.2,0.0,587.0,40.0,59.0,0.0,17.0,189.0,0.0,0.0,0.0,0.0,0,2.0,25.0,5.47,2.74,2.0,20.1,0.2,0.1,0.12,2.0,4.76,2.08,1.44,19.8,0.23,0.08,0.06,1.56,1006.0,有,有
549,2024,330.0,70.9,0.1,0.0,0.6,0.7,2.5,32.6,26.5,0.0,5.1,9.9,5.9,2.2,41.4,647.0,1.0,25.0,63.0,14.0,0.0,266.0,59.9,28.8,0.6,0.0,0.1,12.7,53.7,36.2,4.3,5.9,0.1,0.0,429.0,691.0,9.0,21.0,0.0,75.0,48.9,5.1,5.0,2.9,0.0,15.9,0.7,0.2,0.0,0.0,0,0.2,12.4,72.6,1.7,5.2,3.9,0.0,14.1,0.0,0.4,0.3,0.0,0,0.0,6.9,554.0,57.0,60.0,0.0,0.0,318.0,22.0,3.0,1.0,0.0,0,0.0,0.0,5.34,2.73,2.01,22.0,0.34,0.09,0.09,2.3,4.41,2.37,1.68,24.9,0.18,0.08,0.05,1.5,954.0,有,無
550,2024,1004.0,64.8,0.7,0.0,0.0,0.5,7.0,48.2,73.1,0.3,11.5,3.5,1.3,2.7,33.5,495.0,2.0,107.0,62.0,0.0,59.0,398.0,73.9,19.7,2.0,0.0,0.0,6.5,46.5,65.0,0.2,8.9,0.0,4.7,734.0,277.0,25.0,0.0,0.0,0.0,69.1,5.3,3.6,3.1,1.9,13.3,1.0,0.2,0.1,0.0,0,0.0,5.0,41.8,0.0,1.5,5.3,2.0,43.2,0.8,0.4,0.3,0.0,0,0.6,11.4,734.0,54.0,0.0,52.0,0.0,198.0,0.0,7.0,0.0,0.0,0,0.0,25.0,5.26,2.71,2.08,21.9,0.23,0.08,0.09,2.2,5.79,2.89,2.2,22.9,0.19,0.03,0.05,1.01,996.0,有,有
551,2024,799.0,36.7,0.0,0.1,16.4,0.0,0.1,14.0,30.4,0.0,3.7,5.4,0.0,4.3,41.8,399.0,0.0,28.0,44.0,3.0,3.0,321.0,41.0,45.6,0.0,9.9,0.0,10.4,53.5,19.6,0.8,3.9,0.0,1.9,474.0,226.0,26.0,0.0,1.0,10.0,75.0,2.3,2.5,5.5,2.1,23.4,3.6,0.1,0.3,0.3,0,0.0,7.4,58.2,3.6,4.8,0.0,2.6,33.8,0.0,0.1,0.0,7.1,0,0.2,0.0,389.0,3.0,65.0,45.0,4.0,394.0,0.0,1.0,2.0,56.0,0,2.0,0.0,5.04,2.79,2.02,21.8,0.31,0.06,0.08,1.9,5.79,2.89,1.37,19.4,0.19,0.05,0.05,1.75,1008.0,有,有
552,2024,432.0,73.1,0.6,1.3,1.1,0.0,3.2,31.7,45.6,0.0,6.1,0.0,2.1,5.2,70.7,760.0,3.0,0.0,0.0,14.0,0.0,466.0,61.2,17.9,1.0,3.8,0.3,7.9,56.4,39.5,0.3,0.0,0.3,0.0,647.0,462.0,0.0,66.0,7.0,17.0,74.2,4.1,11.1,1.3,2.3,24.4,0.2,0.1,0.2,0.0,0,0.3,13.7,61.0,2.5,2.0,0.0,2.7,27.0,0.1,0.0,0.1,10.5,0,0.0,0.0,367.0,20.0,50.0,46.0,17.0,418.0,27.0,1.0,2.0,88.0,0,0.0,141.0,5.27,2.69,2.12,22.0,0.19,0.1,0.09,1.8,5.79,2.63,2.2,8.5,0.13,0.07,0.06,1.57,993.0,有,有
553,2024,500.0,53.6,0.2,12.7,3.0,0.0,0.8,47.0,41.5,0.1,14.2,3.0,0.0,5.5,36.0,668.0,5.0,1.0,57.0,0.0,33.0,555.0,85.6,42.7,1.3,0.0,0.0,9.0,86.8,33.9,0.0,0.0,0.5,2.3,480.0,350.0,17.0,32.0,2.0,52.0,46.4,4.0,4.5,0.7,2.9,36.5,0.0,0.2,0.1,19.1,0,0.4,0.0,51.9,6.4,3.2,2.0,5.5,25.4,1.0,0.2,0.0,5.5,0,0.0,0.0,573.0,2.0,69.0,84.0,6.0,359.0,0.0,2.0,1.0,37.0,0,2.0,70.0,5.16,2.71,2.09,20.7,0.19,0.08,0.1,1.6,5.51,2.48,1.85,19.8,0.2,0.09,0.12,1.21,990.0,有,有
554,2024,197.0,57.8,0.0,6.8,7.2,1.6,6.2,38.5,66.4,0.0,0.0,8.1,0.0,5.1,50.8,418.0,5.0,0.0,0.0,0.0,61.0,289.0,59.5,30.9,1.4,18.3,0.0,6.1,48.2,53.1,1.9,6.9,0.3,10.5,541.0,259.0,25.0,56.0,0.0,26.0,78.4,0.8,2.8,7.7,1.3,33.8,0.2,0.3,0.1,0.0,0,0.2,0.0,42.3,1.2,5.6,3.1,0.4,25.3,0.0,0.0,0.3,0.2,0,0.0,2.2,656.0,17.0,89.0,30.0,0.0,317.0,4.0,2.0,1.0,11.0,0,3.0,0.0,5.4,2.73,1.99,22.8,0.34,0.09,0.07,2.1,4.67,2.42,1.52,19.0,0.19,0.07,0.05,1.68,1162.0,有,有
555,2024,210.0,62.9,0.3,5.3,0.0,0.0,8.3,34.7,56.9,0.6,12.8,0.0,0.3,8.1,42.8,670.0,3.0,18.0,12.0,20.0,17.0,351.0,59.5,29.1,0.8,0.0,0.0,5.9,71.4,62.4,1.1,3.0,0.3,4.3,389.0,519.0,0.0,0.0,3.0,58.0,43.2,4.5,1.6,5.9,5.0,32.3,0.6,0.1,0.1,7.7,0,0.2,6.6,33.8,4.3,5.4,0.7,1.1,23.6,3.2,0.0,0.0,2.9,0,0.1,5.5,746.0,0.0,39.0,0.0,21.0,224.0,10.0,5.0,1.0,0.0,0,2.0,0.0,5.26,2.67,1.98,20.4,0.38,0.07,0.06,2.1,5.34,2.65,1.79,24.1,0.27,0.07,0.07,1.54,997.0,有,有
556,2024,518.0,73.2,0.3,13.2,1.2,2.1,0.0,43.5,63.7,0.0,0.0,8.1,3.7,0.0,42.5,823.0,2.0,95.0,0.0,24.0,3.0,530.0,36.2,12.5,0.0,7.4,0.3,3.2,75.4,55.4,0.1,0.0,0.3,0.3,562.0,184.0,6.0,0.0,1.0,8.0,54.8,1.0,4.8,3.0,0.0,17.8,0.0,0.1,0.0,6.8,0,0.0,6.3,18.5,2.2,7.1,2.0,1.9,18.2,2.6,0.2,0.0,0.0,0,0.2,0.0,573.0,0.0,21.0,73.0,25.0,319.0,5.0,5.0,2.0,0.0,0,4.0,59.0,5.21,2.78,2.1,22.2,0.26,0.07,0.07,2.0,4.28,2.55,2.2,12.7,0.19,0.04,0.08,2.41,1066.0,有,有
557,2024,398.0,63.7,0.0,0.0,8.0,0.9,0.9,30.4,58.4,0.5,4.0,1.5,1.5,2.0,32.3,519.0,0.0,34.0,8.0,0.0,52.0,360.0,70.4,22.4,0.4,0.0,0.0,8.6,58.6,29.3,1.5,0.0,0.1,7.0,394.0,601.0,11.0,8.0,0.0,127.0,62.3,6.8,4.4,1.7,3.0,21.0,0.0,0.0,0.1,0.0,0,0.3,11.3,61.9,3.3,3.1,0.0,0.2,21.9,0.0,0.0,0.2,3.2,0,0.8,10.9,489.0,41.0,71.0,72.0,25.0,234.0,0.0,2.0,2.0,100.0,0,0.0,26.0,5.25,2.7,2.01,21.0,0.48,0.09,0.08,2.2,3.09,2.89,2.2,14.7,0.15,0.06,0.06,1.86,999.0,有,有
558,2024,80.0,41.6,0.0,9.8,7.8,0.0,2.9,46.9,42.9,0.0,0.0,0.0,0.2,1.9,54.2,518.0,0.0,0.0,53.0,16.0,56.0,212.0,50.7,32.6,0.0,0.2,0.5,9.7,59.9,28.4,1.3,0.0,0.5,2.0,469.0,553.0,22.0,126.0,3.0,61.0,55.3,8.9,3.2,0.8,2.5,22.9,0.0,0.0,0.0,8.9,0,0.4,1.9,68.8,2.6,2.9,0.5,0.0,32.6,0.0,0.1,0.0,0.3,0,0.5,5.6,416.0,22.0,22.0,23.0,8.0,306.0,6.0,2.0,0.0,54.0,0,5.0,107.0,5.18,2.74,2.06,21.6,0.19,0.08,0.09,2.2,5.79,2.56,1.54,13.4,0.27,0.06,0.08,1.43,1057.0,有,有
559,2024,1126.0,78.3,0.0,6.2,7.7,0.0,5.7,25.6,45.1,0.2,0.0,0.0,2.4,8.6,39.9,448.0,1.0,68.0,50.0,53.0,0.0,607.0,52.2,61.7,0.6,9.2,0.5,0.0,71.4,38.7,0.0,17.4,0.1,7.2,857.0,498.0,0.0,0.0,0.0,114.0,54.7,0.8,4.9,1.8,3.1,23.4,1.7,0.1,0.0,0.0,0,0.1,0.0,52.1,4.2,4.6,2.9,1.7,38.4,0.0,0.2,0.0,0.0,0,0.2,7.7,589.0,48.0,14.0,0.0,33.0,386.0,30.0,0.0,0.0,0.0,0,0.0,0.0,5.3,2.69,2.07,24.5,0.31,0.07,0.09,2.0,5.79,2.85,2.2,19.6,0.18,0.09,0.07,1.28,1134.0,有,有
560,2024,236.0,47.6,0.3,1.5,0.5,0.3,5.4,36.8,34.4,0.0,0.0,6.8,2.5,1.8,28.0,629.0,2.0,0.0,20.0,8.0,30.0,324.0,59.7,24.9,1.2,0.0,0.3,1.5,26.1,28.9,0.6,0.0,0.4,0.0,579.0,221.0,29.0,106.0,3.0,15.0,74.5,0.8,1.4,0.8,1.3,34.4,0.2,0.5,0.0,0.9,0,0.2,0.0,55.3,5.2,8.1,3.3,0.7,23.4,1.6,0.0,0.0,0.0,0,0.0,0.0,431.0,33.0,52.0,57.0,15.0,377.0,0.0,1.0,0.0,71.0,0,0.0,50.0,5.19,2.71,2.04,19.5,0.46,0.07,0.11,2.3,5.79,2.89,1.72,24.9,0.19,0.07,0.07,1.54,996.0,有,有
561,2024,1073.0,63.9,0.5,2.8,9.7,0.9,0.6,10.8,62.6,0.1,7.9,3.8,0.0,4.2,25.5,555.0,0.0,0.0,0.0,19.0,66.0,424.0,38.5,33.1,1.6,4.8,0.6,3.0,52.9,51.8,1.4,20.7,0.4,0.0,829.0,507.0,38.0,63.0,0.0,81.0,48.8,2.8,2.4,3.5,1.9,32.4,1.7,0.4,0.2,6.4,0,0.2,2.7,86.8,7.2,0.0,1.8,0.0,28.8,0.0,0.0,0.0,13.4,0,0.0,3.3,521.0,0.0,29.0,44.0,30.0,366.0,11.0,2.0,0.0,120.0,0,1.0,0.0,5.2,2.76,1.96,22.8,0.32,0.1,0.09,2.2,5.79,2.42,1.93,24.9,0.25,0.06,0.01,1.35,1066.0,有,有
562,2024,583.0,69.2,0.6,4.8,1.5,1.0,5.6,19.4,43.8,0.3,2.5,0.0,2.3,0.0,30.6,486.0,0.0,82.0,0.0,20.0,34.0,352.0,76.7,25.7,0.1,0.0,0.0,17.4,69.9,41.3,0.0,1.5,0.2,9.4,537.0,459.0,0.0,0.0,1.0,27.0,43.0,3.3,0.0,1.0,1.7,16.7,0.0,0.0,0.2,6.1,0,0.0,5.1,35.8,1.4,0.1,2.9,2.8,16.5,2.0,0.1,0.0,3.8,0,0.4,0.0,659.0,34.0,42.0,37.0,36.0,256.0,0.0,1.0,1.0,10.0,0,3.0,53.0,5.28,2.67,1.97,24.1,0.25,0.1,0.09,1.8,5.79,2.89,1.44,24.9,0.22,0.05,0.04,2.0,1132.0,有,有
563,2024,639.0,46.4,0.2,2.8,13.6,1.6,4.0,46.1,65.3,0.1,0.0,3.6,0.0,0.6,63.1,590.0,0.0,0.0,32.0,0.0,40.0,588.0,66.5,52.2,0.7,0.0,0.0,0.0,47.0,49.0,0.9,1.6,0.2,2.5,473.0,447.0,28.0,0.0,0.0,44.0,72.6,0.0,4.5,3.5,1.0,30.4,0.9,0.2,0.0,0.0,0,0.0,3.3,61.9,0.5,5.1,0.0,1.9,36.2,0.0,0.4,0.1,6.0,0,0.0,0.0,398.0,0.0,11.0,48.0,33.0,253.0,17.0,6.0,1.0,0.0,0,2.0,60.0,5.53,2.74,2.03,23.7,0.34,0.1,0.09,2.3,3.94,2.51,1.6,21.0,0.26,0.08,0.06,1.07,996.0,有,有
564,2024,522.0,70.6,0.0,0.0,0.0,1.9,3.8,37.0,68.2,0.6,0.0,0.0,1.1,2.4,51.2,671.0,4.0,26.0,27.0,0.0,0.0,303.0,66.2,49.4,1.0,0.0,0.8,4.7,83.0,39.4,0.0,0.0,0.0,0.0,527.0,354.0,21.0,7.0,3.0,46.0,61.0,4.5,5.5,3.7,0.0,31.4,1.5,0.6,0.0,8.2,0,0.2,0.0,65.1,3.9,2.2,0.2,4.2,29.4,2.8,0.0,0.1,7.8,0,0.0,0.0,513.0,11.0,42.0,0.0,7.0,298.0,0.0,0.0,6.0,53.0,0,0.0,0.0,5.24,2.71,2.0,24.8,0.47,0.07,0.08,2.2,5.61,2.89,1.46,24.9,0.18,0.09,0.06,1.3,887.0,有,有
565,2024,442.0,77.9,0.0,0.0,5.5,2.5,4.6,30.6,68.1,0.2,11.9,10.7,1.1,5.2,50.8,522.0,0.0,0.0,127.0,9.0,48.0,423.0,70.1,27.0,0.0,2.6,0.2,0.0,46.8,66.0,0.2,3.5,0.5,0.5,679.0,395.0,33.0,24.0,0.0,13.0,46.1,9.6,2.8,3.4,1.0,26.1,0.0,0.1,0.0,0.0,0,0.2,5.8,69.0,4.7,0.0,2.2,1.3,28.2,0.8,0.0,0.1,7.0,0,0.6,4.2,371.0,25.0,65.0,3.0,3.0,361.0,0.0,0.0,2.0,25.0,0,4.0,60.0,5.02,2.75,1.99,22.7,0.44,0.1,0.1,2.4,4.02,2.89,2.16,17.5,0.13,0.06,0.05,1.52,1025.0,有,有
566,2024,459.0,56.8,0.2,1.5,3.5,0.3,5.0,17.6,40.3,0.0,14.5,0.0,0.9,0.8,43.6,866.0,2.0,60.0,146.0,19.0,31.0,513.0,39.1,7.6,0.1,0.9,0.0,1.0,53.7,48.4,1.2,2.6,0.2,2.8,463.0,263.0,0.0,1.0,0.0,0.0,63.9,0.3,0.0,0.5,0.9,32.3,1.5,0.1,0.0,0.0,0,0.1,16.7,67.1,1.9,5.7,4.7,3.1,26.3,0.0,0.3,0.1,1.5,0,0.2,0.0,701.0,41.0,69.0,17.0,33.0,322.0,23.0,2.0,1.0,0.0,0,0.0,54.0,5.36,2.72,2.09,21.4,0.37,0.1,0.09,1.8,4.16,2.89,1.99,16.6,0.23,0.07,0.09,1.24,1090.0,有,有
567,2024,603.0,58.7,0.5,8.7,1.5,0.5,0.0,27.3,78.9,0.0,7.7,5.5,3.3,5.4,46.1,525.0,6.0,0.0,72.0,7.0,29.0,336.0,59.3,54.7,0.5,0.0,0.1,4.7,49.6,35.3,0.0,0.0,0.3,0.0,816.0,253.0,0.0,6.0,1.0,22.0,80.5,4.9,3.5,1.5,0.0,14.3,0.0,0.2,0.0,0.0,0,0.1,0.0,46.1,4.0,6.5,3.3,2.3,26.6,0.0,0.1,0.0,0.0,0,0.1,0.0,379.0,68.0,113.0,0.0,10.0,357.0,9.0,5.0,1.0,12.0,0,0.0,0.0,5.21,2.68,2.03,19.4,0.32,0.1,0.08,2.1,5.38,2.6,2.2,24.9,0.25,0.08,0.1,0.65,1004.0,有,有
568,2024,38.0,65.0,0.0,3.5,0.0,0.6,4.1,32.1,77.3,0.0,6.0,3.0,0.6,2.3,42.0,672.0,0.0,0.0,0.0,11.0,34.0,374.0,48.2,19.2,0.8,14.7,0.4,0.0,63.4,46.4,0.7,3.3,0.0,3.6,469.0,579.0,0.0,33.0,3.0,33.0,43.2,5.4,6.3,0.7,1.2,21.8,0.4,0.2,0.0,0.0,0,0.3,5.0,61.2,5.5,4.0,4.5,3.4,34.5,4.4,0.0,0.0,0.0,0,0.0,3.4,766.0,0.0,63.0,63.0,23.0,301.0,22.0,2.0,4.0,0.0,0,2.0,55.0,5.18,2.81,2.01,23.1,0.41,0.08,0.09,2.6,5.79,2.89,2.2,21.2,0.22,0.04,0.06,1.24,998.0,有,有
569,2024,920.0,51.8,0.0,0.0,9.7,1.3,7.1,16.4,40.7,0.0,0.0,1.5,1.9,0.0,29.4,593.0,0.0,16.0,106.0,26.0,79.0,428.0,54.0,25.8,1.8,13.8,0.3,0.7,58.1,34.6,0.0,10.9,0.3,1.5,663.0,406.0,39.0,0.0,1.0,33.0,44.8,3.9,6.4,0.9,1.4,37.0,0.1,0.5,0.1,11.8,0,0.4,0.0,42.5,3.3,2.7,0.0,3.8,21.3,0.0,0.5,0.0,9.9,0,0.4,14.5,592.0,67.0,52.0,14.0,14.0,214.0,34.0,0.0,1.0,30.0,0,2.0,0.0,5.3,2.71,2.02,22.3,0.35,0.09,0.08,2.3,3.99,2.54,1.54,19.2,0.24,0.08,0.09,1.72,1024.0,有,有
570,2024,1049.0,60.5,0.0,0.0,0.0,0.6,0.0,9.1,48.7,0.0,6.4,11.6,0.1,7.5,42.8,608.0,0.0,0.0,142.0,25.0,33.0,282.0,68.5,37.4,0.0,10.0,0.5,3.7,37.7,32.9,0.0,0.0,0.3,2.3,454.0,417.0,1.0,65.0,1.0,60.0,49.1,3.7,5.1,3.9,2.6,22.2,0.3,0.4,0.2,0.0,0,0.1,3.4,56.1,5.6,5.5,2.2,0.0,37.6,0.6,0.0,0.0,0.0,0,0.5,1.9,660.0,40.0,41.0,1.0,0.0,338.0,9.0,0.0,2.0,0.0,0,0.0,0.0,5.15,2.73,2.05,20.4,0.19,0.09,0.11,2.1,4.96,1.69,1.28,20.9,0.17,0.07,0.08,2.13,1088.0,有,有
571,2024,67.0,82.0,0.1,11.0,7.9,0.9,2.6,29.0,62.3,0.0,0.0,0.9,0.0,0.0,18.8,376.0,0.0,43.0,0.0,0.0,84.0,360.0,52.7,47.1,0.0,2.8,0.3,6.0,23.6,49.4,1.7,0.7,0.0,2.9,390.0,327.0,0.0,0.0,0.0,78.0,59.1,0.6,0.4,3.7,2.6,17.5,2.8,0.0,0.1,9.0,0,0.0,1.9,22.5,1.9,1.3,3.8,3.9,33.8,2.2,0.3,0.0,12.1,0,0.0,2.3,447.0,0.0,75.0,52.0,14.0,279.0,0.0,2.0,0.0,0.0,0,0.0,0.0,5.25,2.72,2.08,25.6,0.36,0.1,0.1,2.7,4.98,1.82,1.46,24.9,0.21,0.06,0.06,1.73,1009.0,有,有
572,2024,95.0,74.9,0.2,0.0,0.0,1.4,3.7,49.8,72.4,0.0,9.9,0.0,2.8,4.3,26.7,499.0,0.0,141.0,0.0,19.0,18.0,268.0,64.6,66.6,0.0,1.6,0.2,0.4,38.4,73.8,2.2,0.0,0.0,3.6,636.0,425.0,0.0,66.0,0.0,99.0,42.9,4.7,3.1,6.0,1.5,19.0,2.0,0.4,0.1,6.3,0,0.2,0.0,63.0,0.0,2.0,0.2,0.0,17.5,0.0,0.0,0.3,0.0,0,0.2,2.7,819.0,35.0,89.0,56.0,31.0,265.0,4.0,3.0,1.0,89.0,0,0.0,50.0,5.42,2.73,2.03,23.1,0.28,0.08,0.08,2.0,5.27,2.89,2.19,22.6,0.17,0.1,0.05,1.87,1039.0,有,有
573,2024,688.0,48.2,0.0,1.5,5.2,0.0,8.2,43.4,57.7,0.4,0.0,4.5,1.9,0.8,40.9,685.0,4.0,21.0,42.0,12.0,19.0,480.0,56.9,42.7,1.4,0.0,0.0,0.0,62.8,54.1,2.6,0.0,0.1,8.1,755.0,484.0,0.0,0.0,2.0,74.0,48.1,2.2,7.3,0.0,3.1,26.1,2.4,0.5,0.0,0.0,0,0.5,0.0,86.7,1.4,3.6,0.3,0.3,27.5,1.6,0.0,0.2,0.0,0,0.0,3.1,611.0,51.0,23.0,33.0,36.0,286.0,22.0,4.0,0.0,0.0,0,3.0,77.0,5.09,2.74,2.08,23.3,0.4,0.09,0.1,2.0,5.18,2.52,2.2,24.9,0.19,0.06,0.08,1.34,1075.0,有,有
574,2024,756.0,88.7,0.7,8.1,14.9,0.9,0.0,28.6,38.0,0.0,2.6,0.3,3.0,0.0,33.0,833.0,3.0,88.0,0.0,9.0,86.0,490.0,63.5,18.1,0.4,9.7,0.1,0.0,41.3,55.6,1.8,0.0,0.3,1.5,570.0,630.0,0.0,115.0,2.0,0.0,67.4,1.0,2.1,0.2,1.9,31.8,1.5,0.2,0.1,0.0,0,0.0,3.0,58.3,2.9,0.0,3.9,0.0,42.3,4.2,0.0,0.1,1.6,0,0.0,4.1,583.0,22.0,37.0,0.0,34.0,227.0,40.0,3.0,2.0,0.0,0,0.0,78.0,5.3,2.74,2.04,21.3,0.31,0.06,0.1,2.0,4.31,2.89,2.2,24.8,0.18,0.07,0.08,0.93,1012.0,有,有
575,2024,891.0,56.3,0.1,0.0,7.0,1.5,4.8,49.3,76.1,0.0,0.0,8.6,2.0,6.1,44.1,650.0,1.0,10.0,0.0,27.0,34.0,554.0,50.5,42.7,0.0,0.8,0.0,0.2,63.5,27.0,1.1,1.3,0.6,6.5,722.0,654.0,0.0,0.0,1.0,0.0,87.3,6.4,1.1,0.2,0.7,20.0,1.4,0.5,0.2,0.0,0,0.5,3.7,60.2,3.2,1.5,6.4,1.2,18.1,0.4,0.4,0.0,0.0,0,0.0,5.2,760.0,106.0,13.0,43.0,0.0,344.0,26.0,3.0,0.0,0.0,0,1.0,96.0,5.04,2.7,1.95,22.4,0.19,0.09,0.09,2.3,2.51,2.63,1.96,24.9,0.13,0.08,0.07,0.87,1001.0,有,有
576,2024,336.0,43.2,0.0,5.7,6.5,3.4,2.9,21.0,35.0,0.1,0.0,0.0,0.0,0.1,21.6,577.0,3.0,93.0,80.0,0.0,0.0,297.0,32.0,16.2,2.9,12.4,0.0,6.6,42.0,28.7,1.6,6.8,0.2,0.0,570.0,594.0,11.0,1.0,2.0,87.0,58.5,6.1,2.8,5.3,0.0,33.5,0.9,0.0,0.2,8.8,0,0.2,0.0,40.2,2.3,6.1,1.2,1.1,32.9,0.0,0.3,0.1,5.2,0,0.5,0.0,419.0,5.0,58.0,0.0,0.0,431.0,6.0,4.0,1.0,0.0,0,3.0,9.0,5.16,2.8,2.06,23.2,0.33,0.09,0.09,1.7,5.79,1.72,1.54,21.4,0.21,0.1,0.05,0.75,1017.0,有,有
577,2024,158.0,55.9,0.0,5.3,6.5,0.4,0.3,39.6,60.3,0.2,14.0,4.6,0.3,4.7,39.3,398.0,1.0,146.0,35.0,18.0,1.0,495.0,62.4,20.0,0.5,0.0,0.6,3.0,50.1,53.4,0.0,9.5,0.6,0.0,556.0,370.0,2.0,73.0,1.0,17.0,74.2,3.1,6.1,3.3,2.2,21.8,1.6,0.2,0.0,1.0,0,0.1,3.4,61.3,2.0,1.0,5.2,4.0,35.7,2.7,0.0,0.1,17.8,0,0.0,0.0,779.0,17.0,23.0,0.0,0.0,143.0,33.0,4.0,0.0,92.0,0,1.0,0.0,5.38,2.67,2.0,23.6,0.43,0.1,0.08,2.2,4.4,2.89,1.74,19.7,0.08,0.06,0.05,1.13,1122.0,有,有
